name,score,beer style,abv,cal,city,country,link
Ereniku Pilsner Beer,2.22,Pale Lager,4,120.0,Tirana,Albania,/beer/ereniku-pilsner-beer/134118/
Birra Elbar,2.21,Pale Lager,4.1,123.0,Gjirokaster,Albania,/beer/birra-elbar/356484/
Stefani & Co,2.19,Pilsener,4.7,141.0,Tirana,Albania,/beer/stela-selekt/189684/
Korça Bjonde,2.14,Pilsener,4.5,135.0,Korça,Albania,/beer/korca-bjonde/73708/
Birra Tirana Kuqalashe,2.13,Pale Lager,4.1,123.0,Tirana,Albania,/beer/birra-tirana-kuqalashe/138156/
Norga The Best Beer,2.07,Pale Lager,4.5,135.0,Vlorë,Albania,/beer/norga-the-best-beer/135903/
Norga Premium Läger,2.06,Pale Lager,4.6,138.0,Vlorë,Albania,/beer/norga-premium-lager/68725/
Birra Tirana,1.99,Pale Lager,4,120.0,Tirana,Albania,/beer/birra-tirana/5423/
Stela Pils,1.93,Pale Lager,5,150.0,Tirana,Albania,/beer/stela-pils/220722/
Stela Pils 4%,1.92,Pilsener,4,120.0,Tirana,Albania,/beer/stela-pils-4/287791/
Korça 01 Lager Beer,1.88,Pale Lager,4.1,123.0,Korça,Albania,/beer/korca-01-lager-beer/153090/
Stela,1.84,Pale Lager,4.5,135.0,Tirana,Albania,/beer/stela/15329/
Super Star,2.72,Pilsener,5,150.0,Tizi Ouzou,Algeria,/beer/super-star/447229/
Schems Bavaroise,2.63,Pale Lager,4.5,135.0,Oued Tlelat Oran,Algeria,/beer/schems-bavaroise/48016/
Algad Golden Pils,2.59,Pilsener,4.5,135.0,Tessala El Merdja,Algeria,/beer/algad-golden-pils/54519/
Algad Lalla Princesse,2.59,Pale Lager,4.5,135.0,Tessala El Merdja,Algeria,/beer/algad-lalla-princesse/54521/
Beaufort (Algeria),2.59,Pale Lager,4.5,135.0,Oued Tlelat Oran,Algeria,/beer/beaufort-algeria/56956/
Tango Samba,2.43,Pale Lager,4.2,126.0,Algiers,Algeria,/beer/tango-samba/57042/
Albraü Bière Blonde,2.31,Pale Lager,4.6,138.0,Wilaya de Béjaïa,Algeria,/beer/albrau-biere-blonde/430171/
Koelberg,2.31,Pale Lager,5.2,156.0,Wilaya de Béjaïa,Algeria,/beer/koelberg/430172/
Hofbräu Bavière Bavaroise Premium Pils,2.29,Pilsener,5,150.0,Oued Tlelat Oran,Algeria,/beer/hofbrau-baviere-bavaroise-premium-pils/56945/
Algad Extreme Beer,2.11,Pale Lager,5,150.0,Tessala El Merdja,Algeria,/beer/algad-extreme-beer/54520/
Tango Bière Blonde,2.08,Pale Lager,4.8,144.0,Algiers,Algeria,/beer/tango-biere-blonde/56929/
S.A.R.L. Tango (Heineken),2.03,Pale Lager,5.2,156.0,Algiers,Algeria,/beer/tango-gold/56950/
Algad Power Beer,1.92,Pale Lager,5.2,156.0,Tessala El Merdja,Algeria,/beer/algad-power-beer/57309/
Mini BR,1.82,Pale Lager,4.5,135.0,Algiers,Algeria,/beer/mini-br/43344/
Tango Sans Alcool,1.8,Low Alcohol,-,,Algiers,Algeria,/beer/tango-sans-alcool/56934/
B.A.O. Kelch,1.72,Pale Lager,4.5,135.0,Oran,Algeria,/beer/bao-kelch/43345/
Flying Fox Koko Samoa Stout,n/a,Sweet Stout,-,,Pavaiai,American Samoa,/beer/flying-fox-koko-samoa-stout/440357/
La Birreria Trapella,3.25,Porter,6,180.0,Andorra La Vella,Andorra,/beer/la-birreria-trapella/372389/
La Birreria Trapella Rock Star,3.21,India Pale Ale (IPA),6,180.0,Andorra La Vella,Andorra,/beer/la-birreria-trapella-rock-star/553034/
La Birreria Trapella IPA,3.15,India Pale Ale (IPA),6,180.0,Andorra La Vella,Andorra,/beer/la-birreria-trapella-ipa/444176/
La Birreria Trapella Red Nose,3.12,India Pale Ale (IPA),7,210.0,Andorra La Vella,Andorra,/beer/la-birreria-trapella-red-nose/551554/
Alpha La Font Del Bisbe,2.94,American Pale Ale,5.6,168.0,La Cortinada Ordino,Andorra,/beer/alpha-la-font-del-bisbe/226075/
Alpha Black Porter,2.94,Imperial Porter,8,240.0,La Cortinada Ordino,Andorra,/beer/alpha-black-porter/421176/
Alpha Dama de Gel,2.93,Sour Red/Brown,7.5,225.0,La Cortinada Ordino,Andorra,/beer/alpha-dama-de-gel/347619/
