name,score,beer style,abv,cal,city,country,link
Fierabrás Juana de Arco,3.0,Porter,5,150.0,Barranquilla,Colombia,/beer/fierabras-juana-de-arco/338102/
3 Cordilleras 6.47 Especial Negra,3.0,Sweet Stout,6.47,194.0,Medellin,Colombia,/beer/3-cordilleras-647-especial-negra/162780/
Chelarte Carmela Brown Ale,3.0,Brown Ale,5,150.0,Bogota,Colombia,/beer/chelarte-carmela-brown-ale/204713/
3 Cordilleras Mulata,2.99,Amber Ale,5.2,156.0,Medellin,Colombia,/beer/3-cordilleras-mulata/101435/
Apóstol Bock,2.98,Dunkler Bock,6,180.0,Sabaneta Antioquia Medellin,Colombia,/beer/apostol-bock/164414/
Bogotá Beer Company (BBC) Triqui Triqui,2.98,Spice/Herb/Vegetable,5.3,159.0,Bogota,Colombia,/beer/bogota-beer-company-bbc-triqui-triqui/488780/
Tierra Alta Hefeweissbier,2.98,German Hefeweizen,4.5,135.0,Bogota,Colombia,/beer/tierra-alta-hefeweissbier/511962/
Fierabrás María Antonieta,2.98,American Pale Ale,5,150.0,Barranquilla,Colombia,/beer/fierabras-marya-antonieta/338101/
Tierra Santa Alpa Golden Ale,2.98,Golden Ale/Blond Ale,5,150.0,Bogotá,Colombia,/beer/tierra-santa-alpa-golden-ale/501625/
Chelarte Violeta,2.98,American Pale Ale,5.1,153.0,Bogota,Colombia,/beer/chelarte-violeta/485799/
Manigua Muelona,2.98,Premium Bitter/ESB,5,150.0,Bogotá,Colombia,/beer/manigua-muelona/486889/
Tierra Santa Ëuja IPA,2.98,India Pale Ale (IPA),6.2,186.0,Bogotá,Colombia,/beer/tierra-santa-euja-ipa/501623/
Colon Roja (Red),2.97,American Pale Ale,5,150.0,Bogota,Colombia,/beer/colon-roja-red/40332/
Tierra Alta Porter,2.96,Porter,5,150.0,Bogota,Colombia,/beer/tierra-alta-porter/505952/
Tomahawk American Pale Ale,2.96,American Pale Ale,5.5,165.0,Bogotá,Colombia,/beer/tomahawk-american-pale-ale/482102/
Fierabrás Dulcinea,2.96,Brown Ale,5,150.0,Barranquilla,Colombia,/beer/fierabras-dulcinea/338103/
Apóstol Märzen,2.95,Oktoberfest/Märzen,5.3,159.0,Sabaneta Antioquia Medellin,Colombia,/beer/apostol-marzen/104467/
Tierra Santa Baák Stout,2.94,Stout,5.4,162.0,Bogotá,Colombia,/beer/tierra-santa-baak-stout/501622/
Tomahawk American IPA,2.94,India Pale Ale (IPA),7,210.0,Bogotá,Colombia,/beer/tomahawk-american-ipa/505962/
Tomahawk Black IPA,2.94,Black IPA,7.3,219.0,Bogotá,Colombia,/beer/tomahawk-black-ipa/505963/
Bárbaros / Rustica Session White IPA,2.94,Witbier,3.1,93.0,Bogota,Colombia,/beer/barbaros-rustica-session-white-ipa/505973/
3Cárites American Pale Ale,2.93,American Pale Ale,5,150.0,Bogotá,Colombia,/beer/3carites-american-pale-ale/431485/
Gigante Citra Pale Ale,2.92,American Pale Ale,5,150.0,Bogota,Colombia,/beer/gigante-citra-pale-ale/506381/
Chelarte Zenaida Oatmeal Stout,2.91,Stout,5,150.0,Bogota,Colombia,/beer/chelarte-zenaida-oatmeal-stout/204712/
Moonshine Zipa IPA,2.9,India Pale Ale (IPA),5.7,171.0,Bogota,Colombia,/beer/moonshine-zipa-ipa/361906/
Chelarte Raquel Pale Ale,2.89,American Pale Ale,5,150.0,Bogota,Colombia,/beer/chelarte-raquel-pale-ale/204710/
Master Beer Irish Red Ruby,2.89,Irish Ale,6,180.0,Bogotá,Colombia,/beer/master-beer-irish-red-ruby/431523/
Primus Biere (Congo),2.75,Pale Lager,5,150.0,Brazzaville,Congo,/beer/primus-biere-congo/414195/
Ngok,1.96,Pale Lager,5,150.0,Brazzaville,Congo,/beer/ngok/62478/
Matutu Maeva Celebration Ale,3.13,India Pale Ale (IPA),5,150.0,Titikaveka Rarotonga,Cook Islands,/beer/matutu-maeva-celebration-ale/360879/
Matutu Coconut Porter,2.81,Porter,5.5,165.0,Titikaveka Rarotonga,Cook Islands,/beer/matutu-coconut-porter/226401/
Matutu Mai Lager,2.44,Premium Lager,5,150.0,Titikaveka Rarotonga,Cook Islands,/beer/matutu-mai-lager/89343/
Matutu Brewing Company,2.39,Amber Ale,5,150.0,Titikaveka Rarotonga,Cook Islands,/beer/matutu-ale/89342/
Vaka Lager,2.38,Pale Lager,-,,Avarua Rarotonga,Cook Islands,/beer/vaka-lager/55928/
Cooks Lager,2.19,Pale Lager,4.9,147.0,Avarua Rarotonga,Cook Islands,/beer/cooks-lager/15962/
Matutu Kiva Pale Ale,2.18,English Pale Ale,5,150.0,Titikaveka Rarotonga,Cook Islands,/beer/matutu-kiva-pale-ale/79467/
Cooks Darkie,2.08,Dunkel/Tmavý,4.5,135.0,Avarua Rarotonga,Cook Islands,/beer/cooks-darkie/142141/
La Chimbilaca Lapa Verde,3.26,Porter,5.8,174.0,San Jose,Costa Rica,/beer/la-chimbilaca-lapa-verde/393197/
Costa Rica's Segua Red Ale,3.25,Irish Ale,5,150.0,Cartago,Costa Rica,/beer/costa-ricas-segua-red-ale/136438/
O.S. Beer Uran,3.23,India Pale Ale (IPA),6.7,201.0,San Jose,Costa Rica,/beer/os-beer-uran/279451/
Belmar Nubosa Tropical Stout,3.23,Foreign Stout,7.5,225.0,Monteverde,Costa Rica,/beer/belmar-nubosa-tropical-stout/337860/
Belmar Dos Mares India Pale Ale,3.21,India Pale Ale (IPA),6.5,195.0,Monteverde,Costa Rica,/beer/belmar-dos-mares-india-pale-ale/337859/
Costa Rica's Malacrianza Scottish Ale,3.21,Scottish Ale,6.2,186.0,Cartago,Costa Rica,/beer/costa-ricas-malacrianza-scottish-ale/161104/
Treintaycinco Ensayo #10 Citric DIPA,3.19,Imperial IPA,8,240.0,Escazu,Costa Rica,/beer/treintaycinco-ensayo-10-citric-dipa/393183/
O.S. Beer Nikkos,3.16,Amber Ale,6.7,201.0,San Jose,Costa Rica,/beer/os-beer-nikkos/358638/
Treintaycinco La Pelona,3.15,India Pale Ale (IPA),6,180.0,Escazu,Costa Rica,/beer/treintaycinco-la-pelona/250006/
PerroVida Diogenes,3.15,Imperial IPA,8,240.0,San Rafael Norte,Costa Rica,/beer/perrovida-diogenes/265580/
O.S. Beer Golden Stout,3.15,Stout,-,,San Jose,Costa Rica,/beer/os-beer-golden-stout/339482/
La Micro Domingo Mano Roja Red Ale,3.14,Amber Ale,5.5,165.0,Heredia,Costa Rica,/beer/la-micro-domingo-mano-roja-red-ale/395354/
Treintaycinco Tumba Calzones,3.12,Saison,5,150.0,Escazu,Costa Rica,/beer/treintaycinco-tumba-calzones/237621/
Tamarindo Witch's Rock Pale Ale,3.12,American Pale Ale,-,,Tamarindo,Costa Rica,/beer/tamarindo-witchs-rock-pale-ale/248970/
La Micro Domingo Lagarta Fruity Ale,3.12,Fruit Beer,4.2,126.0,Heredia,Costa Rica,/beer/la-micro-domingo-lagarta-fruity-ale/398714/
Costa Rica's DOTA,3.11,Fruit Beer,4,120.0,San Jose,Costa Rica,/beer/costa-ricas-dota/453686/
Treintaycinco TreintayC,3.11,India Pale Ale (IPA),6.5,195.0,Escazu,Costa Rica,/beer/treintaycinco-treintayc/237628/
Cerveceria K & S,3.09,Dunkler Bock,6.2,186.0,San Jose,Costa Rica,/beer/ks-chivo-blanco/9340/
Treintaycinco Maldita Vida,3.09,Barley Wine,9.8,294.0,Escazu,Costa Rica,/beer/treintaycinco-maldita-vida/237629/
Treintaycinco Majadera Pale Ale,3.09,American Pale Ale,5,150.0,Escazu,Costa Rica,/beer/treintaycinco-majadera-pale-ale/531630/
Treintaycinco Mamacandela,3.09,Sweet Stout,7.8,234.0,Escazu,Costa Rica,/beer/treintaycinco-mamacandela/249886/
Sin Corbata Gallina De Palo,3.09,Golden Ale/Blond Ale,5,150.0,San Jose,Costa Rica,/beer/sin-corbata-gallina-de-palo/337867/
Costa Rica's Libertas Tropical Golden Ale,3.08,Golden Ale/Blond Ale,4.7,141.0,Cartago,Costa Rica,/beer/costa-ricas-libertas-tropical-golden-ale/136391/
Cerveceria K & S,3.07,Pilsener,4.8,144.0,San Jose,Costa Rica,/beer/ks-pilsner/9339/
Primate Sabotage,3.06,Session IPA,5,150.0,San Jose,Costa Rica,/beer/primate-sabotage/511934/
Primate San Jose IPA,3.06,India Pale Ale (IPA),7,210.0,San Jose,Costa Rica,/beer/primate-san-jose-ipa/393190/
Costa Rica's Wheat Beer With Cas,3.03,Wheat Ale,4.5,135.0,Cartago,Costa Rica,/beer/costa-ricas-wheat-beer-with-cas/163238/
Tierra Fertil Elfica,3.02,Amber Ale,7,210.0,,Costa Rica,/beer/tierra-fertil-elfica/364984/
O.S. Beer San Diego IPA,3.02,Imperial IPA,8,240.0,San Jose,Costa Rica,/beer/os-beer-san-diego-ipa/311329/
Cerveceria K & S,3.02,Dunkel/Tmavý,4.2,126.0,San Jose,Costa Rica,/beer/ks-dunkel/41357/
Calle Cimarrona Diablito,3.02,India Pale Ale (IPA),6.7,201.0,San José,Costa Rica,/beer/calle-cimarrona-diablito/512158/
Lake Arenal Black Ash Stout,3.02,Stout,-,,Lake Arenal,Costa Rica,/beer/lake-arenal-black-ash-stout/396875/
Domingo 7 Conejo Mago IPA,3.0,India Pale Ale (IPA),6.2,186.0,Heredia,Costa Rica,/beer/domingo-7-conejo-mago-ipa/539380/
Arboleda Caoba,3.0,Black IPA,6.7,201.0,,Costa Rica,/beer/arboleda-caoba/512159/
Treintaycinco 212 IPA,3.0,India Pale Ale (IPA),6.5,195.0,Escazu,Costa Rica,/beer/treintaycinco-212-ipa/291000/
Belmar Aurorae Pale Ale,3.0,American Pale Ale,5.4,162.0,Monteverde,Costa Rica,/beer/belmar-aurorae-pale-ale/337858/
Treintaycinco Lora,3.0,Belgian Strong Ale,8,240.0,Escazu,Costa Rica,/beer/treintaycinco-lora/249883/
La Cofradía San Pamela,2.98,India Pale Ale (IPA),6.4,192.0,,Costa Rica,/beer/la-cofradya-san-pamela/358522/
Uno Cero Uno IPA,2.98,India Pale Ale (IPA),5.8,174.0,,Costa Rica,/beer/uno-cero-uno-ipa/337864/
Calle Cimarrona Botanica Tamarindo,2.98,Saison,5.5,165.0,San José,Costa Rica,/beer/calle-cimarrona-botanica-tamarindo/436428/
Uno Cero Uno Toro Sentado,2.98,India Pale Ale (IPA),6,180.0,,Costa Rica,/beer/uno-cero-uno-toro-sentado/511971/
Lake Arenal Jungle Dunkel,2.97,Dunkel/Tmavý,-,,Lake Arenal,Costa Rica,/beer/lake-arenal-jungle-dunkel/278906/
Cervecera del Centro Onix,2.96,Dunkelweizen,7,210.0,Santa Ana San Jose,Costa Rica,/beer/cervecera-del-centro-onix/515936/
Tierra y Libertad Petra,2.96,Belgian Ale,5.1,153.0,Limón,Costa Rica,/beer/tierra-y-libertad-petra/418542/
Primate Propaganda,2.96,American Pale Ale,5,150.0,San Jose,Costa Rica,/beer/primate-propaganda/511935/
Beéche Centennial Single Hop IPA,2.96,India Pale Ale (IPA),5.5,165.0,,Costa Rica,/beer/beeche-centennial-single-hop-ipa/395670/
Treintaycinco Caribeño,2.95,Golden Ale/Blond Ale,-,,Escazu,Costa Rica,/beer/treintaycinco-caribeno/415992/
Lake Arenal Paradise Pale Ale,2.94,American Pale Ale,5,150.0,Lake Arenal,Costa Rica,/beer/lake-arenal-paradise-pale-ale/278899/
Beéche Session IPA Citra Amarillo,2.94,Session IPA,5,150.0,,Costa Rica,/beer/beeche-session-ipa-citra-amarillo/436435/
Gallo Tapao Brumosa Pale Ale,2.94,American Pale Ale,6.2,186.0,Cartago,Costa Rica,/beer/gallo-tapao-brumosa-pale-ale/396569/
Nova Runda C4,3.88,India Pale Ale (IPA),6.3,189.0,Zagreb,Croatia,/beer/nova-runda-c4/409275/
Zmajska Pivovara RIS Barrel Aged,3.82,Imperial Stout,10.1,303.0,Zagreb,Croatia,/beer/zmajska-pivovara-ris-barrel-aged/550021/
Zmajska Pivovara RIS,3.8,Imperial Stout,10.1,303.0,Zagreb,Croatia,/beer/zmajska-pivovara-ris/550020/
The Garden Vanilla & Chocolate Porter - Christmas Special,3.77,Porter,6.7,201.0,Zagreb,Croatia,/beer/the-garden-vanilla-chocolate-porter-christmas-special/470654/
Vunetovo Aljaški Mrgud,3.76,Black IPA,5.9,177.0,Hvar,Croatia,/beer/vunetovo-aljaski-mrgud/384475/
Nova Runda ThroaTTwisteR,3.72,Imperial IPA,9,270.0,Zagreb,Croatia,/beer/nova-runda-throattwister/519518/
Pivovara Medvedgrad Pivo Svetog Martina,3.67,Barley Wine,10.3,309.0,Zagreb,Croatia,/beer/pivovara-medvedgrad-pivo-svetog-martina/462921/
Zmajska Pivovara Pozoj IPA,3.66,India Pale Ale (IPA),7.3,219.0,Zagreb,Croatia,/beer/zmajska-pivovara-pozoj-ipa/335833/
Zmajska Pivovara Porter,3.64,Porter,6.5,195.0,Zagreb,Croatia,/beer/zmajska-pivovara-porter/285532/
Nova Runda FIREBALL,3.63,India Pale Ale (IPA),6.2,186.0,Zagreb,Croatia,/beer/nova-runda-fireball/465929/
Nova Runda APA,3.61,American Pale Ale,5.2,156.0,Zagreb,Croatia,/beer/nova-runda-apa/272131/
Pivovara Medvedgrad Baltazar,3.6,India Style Lager,5.6,168.0,Zagreb,Croatia,/beer/pivovara-medvedgrad-baltazar/413732/
Crafter's Spirit,3.59,Spice/Herb/Vegetable,8,240.0,Ivanić Grad,Croatia,/beer/crafters-spirit/471228/
5th Element Beer Imperial India Pale Ale (IIPA),3.58,Imperial IPA,7.5,225.0,Daruvar,Croatia,/beer/5th-element-beer-imperial-india-pale-ale-iipa/507868/
Prvo Viško Pivo Porter,3.56,Porter,7,210.0,Vis,Croatia,/beer/prvo-visko-pivo-porter/431804/
Pivovara Medvedgrad Crni Jack,3.53,Black IPA,6.3,189.0,Zagreb,Croatia,/beer/pivovara-medvedgrad-crni-jack/379031/
Zmajska Pivovara Pale Ale,3.53,American Pale Ale,5.3,159.0,Zagreb,Croatia,/beer/zmajska-pivovara-pale-ale/285531/
Pivovara Medvedgrad Rođendansko Pivo,3.51,Belgian Strong Ale,9,270.0,Zagreb,Croatia,/beer/pivovara-medvedgrad-ro273endansko-pivo/302424/
Nova Runda BRALE,3.49,Brown Ale,4.9,147.0,Zagreb,Croatia,/beer/nova-runda-brale/282821/
The Garden NEIPA 01,3.48,India Pale Ale (IPA),6.1,183.0,Zagreb,Croatia,/beer/the-garden-neipa-01/499031/
Varionica,3.47,Stout,7.4,222.0,Zagreb,Croatia,/beer/varionica-b-day-stout/393693/
Pivovara Medvedgrad Vragec,3.46,Session IPA,4.8,144.0,Zagreb,Croatia,/beer/pivovara-medvedgrad-vragec/446106/
Pivovara Medvedgrad Agram Stout,3.45,Stout,5.5,165.0,Zagreb,Croatia,/beer/pivovara-medvedgrad-agram-stout/255156/
Pivovara Medvedgrad Fakin IPA,3.45,India Pale Ale (IPA),7,210.0,Zagreb,Croatia,/beer/pivovara-medvedgrad-fakin-ipa/289527/
Varionica B-Day IPA,3.44,India Pale Ale (IPA),6.6,198.0,Zagreb,Croatia,/beer/varionica-b-day-ipa/484549/
The Garden Brewery,3.43,Imperial IPA,8.1,243.0,Zagreb,Croatia,/beer/the-garden-dipa/451702/
Vunetovo Hvarska Medicina,3.43,Spice/Herb/Vegetable,5.4,162.0,Hvar,Croatia,/beer/vunetovo-hvarska-medicina/290237/
The Garden India Pale Ale,3.43,India Pale Ale (IPA),6.5,195.0,Zagreb,Croatia,/beer/the-garden-india-pale-ale/456060/
Prvo Viško Pivo Imperial Brown Ale,3.43,Brown Ale,7,210.0,Vis,Croatia,/beer/prvo-visko-pivo-imperial-brown-ale/471233/
Varionica Into The Rye,3.43,India Pale Ale (IPA),7,210.0,Zagreb,Croatia,/beer/varionica-into-the-rye/505895/
The Garden 96 IPA,3.43,India Pale Ale (IPA),7.6,228.0,Zagreb,Croatia,/beer/the-garden-96-ipa/531334/
The Garden NEIPA 02,3.43,India Pale Ale (IPA),6.9,207.0,Zagreb,Croatia,/beer/the-garden-neipa-02/550023/
Pulfer Hoppy Saison,3.42,Saison,5.7,171.0,Zagreb,Croatia,/beer/pulfer-hoppy-saison/540806/
Visibaba Pivo Oat Dirty Bastard,3.42,American Pale Ale,5.5,165.0,Zagreb,Croatia,/beer/visibaba-pivo-oat-dirty-bastard/519307/
Pulfer Black IPA,3.41,Black IPA,6.9,207.0,Zagreb,Croatia,/beer/pulfer-black-ipa/564530/
The Garden Imperial Adriatic Ale,3.41,Imperial IPA,8.5,255.0,Zagreb,Croatia,/beer/the-garden-imperial-adriatic-ale/561221/
Varionica Neon Stout,3.4,Stout,6.2,186.0,Zagreb,Croatia,/beer/varionica-neon-stout/402250/
Nova Runda HLADOVINA,3.4,Session IPA,4.9,147.0,Zagreb,Croatia,/beer/nova-runda-hladovina/526823/
The Garden Stout,3.4,Sweet Stout,5.7,171.0,Zagreb,Croatia,/beer/the-garden-stout/424986/
Križevačko Tamno Pivo,3.39,Dunkel/Tmavý,6,180.0,Križevci,Croatia,/beer/krizeva269ko-tamno-pivo/303255/
Pivovara Medvedgrad Novi Val IPA,3.39,India Pale Ale (IPA),5.7,171.0,Zagreb,Croatia,/beer/pivovara-medvedgrad-novi-val-ipa/547073/
Pulfer Stout,3.39,Stout,5.7,171.0,Zagreb,Croatia,/beer/pulfer-stout/478482/
San Servolo Tamno Pivo,3.39,Schwarzbier,5.6,168.0,Buje,Croatia,/beer/san-servolo-tamno-pivo/259094/
The Garden Brewery,3.37,India Pale Ale (IPA),7.6,228.0,Zagreb,Croatia,/beer/the-garden-cripa/459021/
LAB Barba Pale Ale,3.36,American Pale Ale,5.4,162.0,Split,Croatia,/beer/lab-barba-pale-ale/403474/
Tomislav Crno Pivo,3.36,Baltic Porter,7.3,219.0,Zagreb,Croatia,/beer/tomislav-crno-pivo/11904/
The Garden Citrus IPA,3.36,India Pale Ale (IPA),7.2,216.0,Zagreb,Croatia,/beer/the-garden-citrus-ipa/436592/
The Garden Simcoe Pale,3.36,American Pale Ale,4.9,147.0,Zagreb,Croatia,/beer/the-garden-simcoe-pale/552717/
Pivovara Medvedgrad Cug Majstor,3.36,Pilsener,6.1,183.0,Zagreb,Croatia,/beer/pivovara-medvedgrad-cug-majstor/423429/
Zmajska Pivovara Hoppy Wheat,3.36,Wheat Ale,4.9,147.0,Zagreb,Croatia,/beer/zmajska-pivovara-hoppy-wheat/435309/
Puerto del Rey Negra,3.04,Schwarzbier,-,,Santiago de Cuba,Cuba,/beer/puerto-del-rey-negra/397979/
Puerto del Rey Obscura,2.90,Dunkel/Tmavý,-,,Santiago de Cuba,Cuba,/beer/puerto-del-rey-obscura/397978/
Taberna de la Muralla Negra,2.89,Schwarzbier,-,,Havana (Plaza Vieja),Cuba,/beer/taberna-de-la-muralla-negra/309018/
Tinima Cerveza Clara,2.87,Pale Lager,5.3,159.0,Camagüey,Cuba,/beer/tinima-cerveza-clara/422411/
Cerveceria Bucanero (InBev),2.73,Pale Lager,5,150.0,Holguín,Cuba,/beer/mayabe-cerveza-fuerte/12084/
Puerto del Rey Clara,2.70,Pale Lager,-,,Santiago de Cuba,Cuba,/beer/puerto-del-rey-clara/397977/
Taberna de la Muralla Pielsen,2.62,Pilsener,-,,Havana (Plaza Vieja),Cuba,/beer/taberna-de-la-muralla-pielsen/41660/
Taberna de la Muralla Munich (Oscura),2.59,Dunkel/Tmavý,-,,Havana (Plaza Vieja),Cuba,/beer/taberna-de-la-muralla-munich-oscura/41661/
Cerveceria Tinima,2.54,Pale Lager,4.8,144.0,Camagüey,Cuba,/beer/antillana-cerveza-clara/42021/
Cerveceria Bucanero (InBev),2.51,Pale Lager,4.9,147.0,Holguín,Cuba,/beer/bucanero-premium/12055/
Antiguo Almacen Negra,2.48,Schwarzbier,-,,Havana,Cuba,/beer/antiguo-almacen-negra/397968/
Tinima Especial Fuerte,2.42,Premium Lager,6.5,195.0,Camagüey,Cuba,/beer/tinima-especial-fuerte/190749/
Antiguo Almacen Obscura,2.42,Dunkel/Tmavý,-,,Havana,Cuba,/beer/antiguo-almacen-obscura/397969/
Taberna de la Muralla Plaza Vieja Light (Claro),2.41,Pale Lager,4,120.0,Havana (Plaza Vieja),Cuba,/beer/taberna-de-la-muralla-plaza-vieja-light-claro/62852/
Antiguo Almacen Clara,2.32,Pale Lager,-,,Havana,Cuba,/beer/antiguo-almacen-clara/397967/
Cacique,2.22,Pale Lager,4.5,135.0,Holguín,Cuba,/beer/cacique/132740/
Cerveja Bruja Clásica,2.17,Pale Lager,4.5,135.0,Manacas (Villa Clara),Cuba,/beer/cerveja-bruja-clasica/195295/
Cerveceria Bucanero (InBev),2.14,Imperial Pils/Strong Pale Lager,6.4,192.0,Holguín,Cuba,/beer/bucanero-max/62851/
Bucanero Fuerte,2.08,Pale Lager,5.4,162.0,Holguín,Cuba,/beer/bucanero-fuerte/12085/
Varadero Clara Classic,1.97,Pale Lager,5.2,156.0,Camagüey,Cuba,/beer/varadero-clara-classic/114804/
Cerveceria Tinima,1.93,Pale Lager,4.6,138.0,Camagüey,Cuba,/beer/tinima-superior/18521/
Hatuey (Cuba),1.91,Pale Lager,4.5,135.0,Santiago de Cuba,Cuba,/beer/hatuey-cuba/66906/
Tinima Cubay Clasica,1.86,Pale Lager,5.3,159.0,Camagüey,Cuba,/beer/tinima-cubay-clasica/60572/
Cristal,1.79,Pale Lager,4.9,147.0,Holguín,Cuba,/beer/cristal/254534/
Mayabe Cerveza Clara,1.69,Pale Lager,4,120.0,Holguín,Cuba,/beer/mayabe-cerveza-clara/12054/
,n/a,,,,,,/beer/cubanero-fuerte/234507/
,n/a,,,,,,/beer/palma-cristal/12457/
Curacao Brown Eyed Girl,3.14,Brown Ale,5.7,171.0,Willemstad,Curaçao,/beer/curacao-brown-eyed-girl/477084/
Curacao Hopi Hops,3.07,India Pale Ale (IPA),5.8,174.0,Willemstad,Curaçao,/beer/curacao-hopi-hops/477083/
Curacao White Goat,2.98,Witbier,4.9,147.0,Willemstad,Curaçao,/beer/curacao-white-goat/477082/
Curacao Skinny Blonde,2.97,Golden Ale/Blond Ale,2.8,84.0,Willemstad,Curaçao,/beer/curacao-skinny-blonde/477085/
diNos Pilsener,2.61,Pilsener,4.5,135.0,Willemstad,Curaçao,/beer/dinos-pilsener/299269/
Montana Curacao Red Lager,2.34,Amber Lager/Vienna,5,150.0,Willemstad,Curaçao,/beer/montana-curacao-red-lager/299270/
Antillaanse Brouwerij (Heineken),2.12,Pilsener,-,,Willemstad,Curaçao,/beer/coral-pilsner/35212/
Amstel Bright,1.98,Pale Lager,5,150.0,Willemstad,Curaçao,/beer/amstel-bright/10524/
Captain Blighs Bar (Hilton Curaçao),n/a,Pale Lager,-,,Willemstad,Curaçao,/beer/captain-blighs-canadian-light/42080/
Captain Blighs Bar (Hilton Curaçao),n/a,Dortmunder/Helles,-,,Willemstad,Curaçao,/beer/captain-blighs-munich-helles/42149/
Hula Hops Cyprus Citrus IPA,3.65,India Pale Ale (IPA),6,180.0,Nicosia,Cyprus,/beer/hula-hops-cyprus-citrus-ipa/335987/
Hula Hops Cyprus Summer Wit,3.46,Witbier,5,150.0,Nicosia,Cyprus,/beer/hula-hops-cyprus-summer-wit/424934/
Prime White,3.23,Witbier,4.5,135.0,Sotira,Cyprus,/beer/prime-white/253418/
Pivo Blondie,3.21,Czech Pilsner (Světlý),-,,Nicosia,Cyprus,/beer/pivo-blondie/374629/
Aphrodite's Rock London Porter,3.12,Porter,4.5,135.0,Paphos,Cyprus,/beer/aphrodites-rock-london-porter/229659/
Prime Odette Saison,3.10,Saison,4.5,135.0,Sotira,Cyprus,/beer/prime-odette-saison/321811/
Mad Pan,3.08,Abbey Dubbel,8.5,255.0,Larnaca,Cyprus,/beer/mad-pan-hihon-mouslera/336792/
Aphrodite's Rock Premium,3.02,Pilsener,5,150.0,Paphos,Cyprus,/beer/aphrodites-rock-premium/295066/
The Brewery (Larnaca) Oyster Stout,3.02,Stout,5,150.0,Larnaca,Cyprus,/beer/the-brewery-larnaca-oyster-stout/416191/
The Brewery (Larnaca) Dark Wheat,3.02,Dunkelweizen,5.3,159.0,Larnaca,Cyprus,/beer/the-brewery-larnaca-dark-wheat/139595/
Mad Pan Barrel House Pale Ale,3.00,English Pale Ale,6.1,183.0,Larnaca,Cyprus,/beer/mad-pan-barrel-house-pale-ale/462594/
The Brewery (Larnaca) Dark Lager,2.98,Dunkel/Tmavý,5,150.0,Larnaca,Cyprus,/beer/the-brewery-larnaca-dark-lager/139593/
The Brewery (Larnaca) Premium Dark,2.98,Dunkel/Tmavý,4.8,144.0,Larnaca,Cyprus,/beer/the-brewery-larnaca-premium-dark/416207/
The Brewery (Larnaca) Lager,2.96,Pale Lager,4.9,147.0,Larnaca,Cyprus,/beer/the-brewery-larnaca-lager/413272/
Prime Napa Elite,2.96,Pilsener,4.5,135.0,Sotira,Cyprus,/beer/prime-napa-elite/442657/
KEO,2.95,Pale Lager,5,150.0,Lemesos,Cyprus,/beer/five-beer/33240/
Aphrodite's Rock ESB,2.88,Premium Bitter/ESB,5,150.0,Paphos,Cyprus,/beer/aphrodites-rock-esb/272073/
Carlsberg Classic,2.87,Pale Lager,5,150.0,Nicosia,Cyprus,/beer/carlsberg-classic/532302/
The Brewery (Larnaca) Wheat,2.87,German Hefeweizen,5.5,165.0,Larnaca,Cyprus,/beer/the-brewery-larnaca-wheat/413271/
True Ale Cyprus Porter,2.87,Porter,4.5,135.0,Limassol,Cyprus,/beer/true-ale-cyprus-porter/533027/
True Ale Cyprus Pale Ale,2.85,English Pale Ale,3,90.0,Limassol,Cyprus,/beer/true-ale-cyprus-pale-ale/533022/
The Brewery (Larnaca) Pilsner,2.85,Czech Pilsner (Světlý),4.4,132.0,Larnaca,Cyprus,/beer/the-brewery-larnaca-pilsner/139594/
Aphrodite's Rock West Coast,2.85,India Pale Ale (IPA),6,180.0,Paphos,Cyprus,/beer/aphrodites-rock-west-coast/229660/
The Brewery (Larnaca) Brown Ale,2.84,Brown Ale,4.7,141.0,Larnaca,Cyprus,/beer/the-brewery-larnaca-brown-ale/139592/
Aphrodite's Rock Stratford Gold,2.84,Golden Ale/Blond Ale,3.8,114.0,Paphos,Cyprus,/beer/aphrodites-rock-stratford-gold/229654/
Aphrodite's Rock Zoigl Star,2.82,Zwickel/Keller/Landbier,4.5,135.0,Paphos,Cyprus,/beer/aphrodites-rock-zoigl-star/229657/
Prime Pale,2.82,English Pale Ale,4.5,135.0,Sotira,Cyprus,/beer/prime-pale/222959/
Prime Golden,2.81,Golden Ale/Blond Ale,4.5,135.0,Sotira,Cyprus,/beer/prime-golden/222958/
Draught Bar & Grill Buster Ale,2.81,English Pale Ale,-,,Limassol,Cyprus,/beer/draught-bar-grill-buster-ale/99691/
Draught Bar & Grill Lager,2.79,Pale Lager,-,,Limassol,Cyprus,/beer/draught-bar-grill-lager/72080/
Aphrodite´s Rock Yorkshire Rose,2.78,Bitter,3.8,114.0,Paphos,Cyprus,/beer/aphrodites-rock-yorkshire-rose/227185/
True Ale Cyprus Blonde Ale,2.75,Mild Ale,2.5,75.0,Limassol,Cyprus,/beer/true-ale-cyprus-blonde-ale/533023/
Aphrodite's Rock Hobnob,2.74,Brown Ale,4.5,135.0,Paphos,Cyprus,/beer/aphrodites-rock-hobnob/229658/
Aphrodite's Rock Lian Shee,2.72,Irish Ale,4.5,135.0,Paphos,Cyprus,/beer/aphrodites-rock-lian-shee/229656/
Aphrodite's Rock Oktoberfest,2.71,Oktoberfest/Märzen,4.8,144.0,Paphos,Cyprus,/beer/aphrodites-rock-oktoberfest/350259/
Prime Black,2.69,Sweet Stout,4.5,135.0,Sotira,Cyprus,/beer/prime-black/285454/
