beer,link,score,style,abv,cal,loc,country
�ek Pilsener,/beer/cek-pilsener/153087/,2.35,Czech Pilsner (Světl�),4.5,135,['Tirana'],Albania
Castelberg,/beer/castelberg/240238/,2.29,Pale Lager,4.6,138,['Vlorë'],Albania
Ereniku Pilsner Beer,/beer/ereniku-pilsner-beer/134118/,2.22,Pale Lager,4,120,['Tirana'],Albania
Birra Elbar,/beer/birra-elbar/356484/,2.21,Pale Lager,4.1,123,['Gjirokaster'],Albania
Stela Selekt ,/beer/stela-selekt/189684/,2.19,Pilsener,4.7,141,['Tirana'],Albania
Kor�a Bjonde,/beer/korca-bjonde/73708/,2.14,Pilsener,4.5,135,['Korça'],Albania
Birra Tirana Kuqalashe,/beer/birra-tirana-kuqalashe/138156/,2.13,Pale Lager,4.1,123,['Tirana'],Albania
Norga The Best Beer,/beer/norga-the-best-beer/135903/,2.07,Pale Lager,4.5,135,['Vlorë'],Albania
Norga Premium L�ger,/beer/norga-premium-lager/68725/,2.06,Pale Lager,4.6,138,['Vlorë'],Albania
Birra Tirana ,/beer/birra-tirana/5423/,1.99,Pale Lager,4,120,['Tirana'],Albania
Stela Pils,/beer/stela-pils/220722/,1.93,Pale Lager,5,150,['Tirana'],Albania
Stela Pils 4%,/beer/stela-pils-4/287791/,1.92,Pilsener,4,120,['Tirana'],Albania
Kor�a 01 Lager Beer,/beer/korca-01-lager-beer/153090/,1.88,Pale Lager,4.1,123,['Korça'],Albania
Stela,/beer/stela/15329/,1.84,Pale Lager,4.5,135,['Tirana'],Albania
Super Star,/beer/super-star/447229/,2.72,Pilsener,5,150,['Tizi Ouzou'],Algeria
Schems Bavaroise,/beer/schems-bavaroise/48016/,2.63,Pale Lager,4.5,135,"['Oued Tlelat', ' Oran']",Algeria
Algad Golden Pils,/beer/algad-golden-pils/54519/,2.59,Pilsener,4.5,135,['Tessala El Merdja'],Algeria
Algad Lalla Princesse,/beer/algad-lalla-princesse/54521/,2.59,Pale Lager,4.5,135,['Tessala El Merdja'],Algeria
Beaufort (Algeria),/beer/beaufort-algeria/56956/,2.59,Pale Lager,4.5,135,"['Oued Tlelat', ' Oran']",Algeria
Tango Samba,/beer/tango-samba/57042/,2.43,Pale Lager,4.2,126,['Algiers'],Algeria
Albra� Bi�re Blonde,/beer/albrau-biere-blonde/430171/,2.31,Pale Lager,4.6,138,['Wilaya de Béjaïa'],Algeria
Koelberg,/beer/koelberg/430172/,2.31,Pale Lager,5.2,156,['Wilaya de Béjaïa'],Algeria
Hofbr�u Bavi�re Bavaroise Premium Pils,/beer/hofbrau-baviere-bavaroise-premium-pils/56945/,2.29,Pilsener,5,150,"['Oued Tlelat', ' Oran']",Algeria
Algad Extreme Beer,/beer/algad-extreme-beer/54520/,2.11,Pale Lager,5,150,['Tessala El Merdja'],Algeria
Tango Bi�re Blonde,/beer/tango-biere-blonde/56929/,2.08,Pale Lager,4.8,144,['Algiers'],Algeria
Tango Gold,/beer/tango-gold/56950/,2.03,Pale Lager,5.2,156,['Algiers'],Algeria
Algad Power Beer,/beer/algad-power-beer/57309/,1.92,Pale Lager,5.2,156,['Tessala El Merdja'],Algeria
Mini BR,/beer/mini-br/43344/,1.82,Pale Lager,4.5,135,['Algiers'],Algeria
Tango Sans Alcool,/beer/tango-sans-alcool/56934/,1.8,Low Alcohol,-,1.8/5,['Algiers'],Algeria
B.A.O. Kelch,/beer/bao-kelch/43345/,1.72,Pale Lager,4.5,135,['Oran'],Algeria
Flying Fox Koko Samoa Stout,/beer/flying-fox-koko-samoa-stout/440357/,n/a,Sweet Stout,-,0,['Pavaiai'],American Samoa
La Birreria Trapella,/beer/la-birreria-trapella/372389/,3.25,Porter,6,180,['Andorra La Vella'],Andorra
La Birreria Trapella Rock Star,/beer/la-birreria-trapella-rock-star/553034/,3.21,India Pale Ale (IPA),6,180,['Andorra La Vella'],Andorra
La Birreria Trapella IPA,/beer/la-birreria-trapella-ipa/444176/,3.15,India Pale Ale (IPA),6,180,['Andorra La Vella'],Andorra
La Birreria Trapella Red Nose,/beer/la-birreria-trapella-red-nose/551554/,3.12,India Pale Ale (IPA),7,210,['Andorra La Vella'],Andorra
Alpha La Font Del Bisbe,/beer/alpha-la-font-del-bisbe/226075/,2.94,American Pale Ale,5.6,168,['La Cortinada Ordino'],Andorra
Alpha Black Porter,/beer/alpha-black-porter/421176/,2.94,Imperial Porter,8,240,['La Cortinada Ordino'],Andorra
Alpha Dama de Gel,/beer/alpha-dama-de-gel/347619/,2.93,Sour Red/Brown,7.5,225,['La Cortinada Ordino'],Andorra
Alpha Sant Corneli,/beer/alpha-sant-corneli/222280/,2.92,India Pale Ale (IPA),6.4,192,['La Cortinada Ordino'],Andorra
Alpha Els Amants del Roc,/beer/alpha-els-amants-del-roc/432481/,2.89,Porter,7.5,225,['La Cortinada Ordino'],Andorra
Alpha  Fums,/beer/alpha-fums/236915/,2.89,Smoked,7.5,225,['La Cortinada Ordino'],Andorra
Boris Craft Beer Andorra Golden Ale,/beer/boris-craft-beer-andorra-golden-ale/434352/,2.83,Golden Ale/Blond Ale,4.5,135,[''],Andorra
Alpha El Testament Del Llop ,/beer/alpha-el-testament-del-llop/481027/,2.83,Smoked,6.2,186,['La Cortinada Ordino'],Andorra
Alpha Roure (Especial Lager),/beer/alpha-roure-especial-lager/179235/,2.82,Imperial Pils/Strong Pale Lager,7.9,237,['La Cortinada Ordino'],Andorra
La Birreria Trapella Doggy Queen,/beer/la-birreria-trapella-doggy-queen/553019/,2.76,K�lsch,5,150,['Andorra La Vella'],Andorra
Alpha Roure Pale Ale,/beer/alpha-roure-pale-ale/194852/,2.71,English Pale Ale,4.6,138,['La Cortinada Ordino'],Andorra
Alpha Andorbock Fumat,/beer/alpha-andorbock-fumat/196132/,2.71,Smoked,9.1,273,['La Cortinada Ordino'],Andorra
Cerveses Alpha La Dama Blanca,/beer/cerveses-alpha-la-dama-blanca/481032/,2.68,Golden Ale/Blond Ale,5.1,153,['La Cortinada Ordino'],Andorra
Boris Craft Beer White Ale,/beer/boris-craft-beer-white-ale/495600/,2.68,Witbier,4,120,[''],Andorra
La Birreria Trapella Scrum,/beer/la-birreria-trapella-scrum/555633/,2.67,Witbier,5,150,['Andorra La Vella'],Andorra
Alpha Full Fusion,/beer/alpha-full-fusion/276147/,2.65,Spice/Herb/Vegetable,5.1,153,['La Cortinada Ordino'],Andorra
Alpha La Farga,/beer/alpha-la-farga/194851/,2.63,Bitter,4.8,144,['La Cortinada Ordino'],Andorra
Alpha Monjo Boig,/beer/alpha-monjo-boig/168447/,2.56,German Hefeweizen,4.5,135,['La Cortinada Ordino'],Andorra
La Birreria Trapella Ginger Beard,/beer/la-birreria-trapella-ginger-beard/553044/,2.55,Spice/Herb/Vegetable,6.5,195,['Andorra La Vella'],Andorra
Alpha Torrada,/beer/alpha-torrada/164176/,2.5,Amber Ale,7.9,237,['La Cortinada Ordino'],Andorra
Alpha Smoked Red Ale,/beer/alpha-smoked-red-ale/177830/,2.45,Smoked,5.8,174,['La Cortinada Ordino'],Andorra
Alpha Crepuscle,/beer/alpha-crepuscle/177235/,2.43,Stout,7.5,225,['La Cortinada Ordino'],Andorra
Alpha Eagle,/beer/alpha-eagle/222282/,2.3,Golden Ale/Blond Ale,5.1,153,['La Cortinada Ordino'],Andorra
Alpha El Barranc Dels Dimonis,/beer/alpha-el-barranc-dels-dimonis/553040/,2.29,Spice/Herb/Vegetable,5.1,153,['La Cortinada Ordino'],Andorra
Alpha Tipus Pilsener,/beer/alpha-tipus-pilsener/154459/,2.26,Pilsener,5.1,153,['La Cortinada Ordino'],Andorra
N�gola Cerveja Superior,/beer/ngola-cerveja-superior/148374/,2.70,Pale Lager,5,150,['Luanda'],Angola
Nocal Cerveja Internacional,/beer/nocal-cerveja-internacional/14078/,2.14,Pale Lager,5,150,['Luanda'],Angola
Eka,/beer/eka/70816/,1.94,Pilsener,5,150,"['Dondo', ' Provincia do Kwanza Norte']",Angola
Nova Cuca,/beer/nova-cuca/59433/,1.82,Pale Lager,4.5,135,['Luanda'],Angola
Cerveja Tchizo,/beer/cerveja-tchizo/200390/,n/a,Pale Lager,5.5,165,['Cabinda'],Angola
Bela Beer,/beer/bela-beer/410770/,n/a,Pale Lager,-,0,['Luanda'],Angola
Refriango Cerveja Tigra,/beer/refriango-cerveja-tigra/410771/,n/a,Pale Lager,5,150,['Luanda'],Angola
2SIX8 Goat Farm Pale Ale ,/beer/2six8-goat-farm-pale-ale/547267/,3.17,American Pale Ale,5.2,156,"['English Harbour Town', ' Saint Paul']",Antigua & Barbuda
Wadadli ,/beer/wadadli/7979/,2.13,Pale Lager,5,150,['St. Johns'],Antigua & Barbuda
Wadadli Gold,/beer/wadadli-gold/103599/,2.07,Premium Lager,5.6,168,['St. Johns'],Antigua & Barbuda
Juguetes Perdidos Baltic Porter Cognac Barrel Aged,/beer/juguetes-perdidos-baltic-porter-cognac-barrel-aged/521949/,3.52,Baltic Porter,11.2,336,['Buenos Aires'],Argentina
Araucana Rojiza Fuerte,/beer/araucana-rojiza-fuerte/82421/,3.45,Doppelbock,9.2,276,['El Bolson'],Argentina
Juguetes Perdidos Imperial Porter Barrel Aged with Dried Sour Cherries,/beer/juguetes-perdidos-imperial-porter-barrel-aged-with-dried-sour-cherries/522012/,3.42,Imperial Porter,10,300,['Buenos Aires'],Argentina
Shopron Porter,/beer/shopron-porter/55731/,3.37,Porter,6.2,186,['Capital Federal'],Argentina
Murray's IPA,/beer/murrays-ipa/57964/,3.36,India Pale Ale (IPA),7.5,225,['Buenos Aires'],Argentina
Juguetes Perdidos Imperial Saison Chardonay Barrel,/beer/juguetes-perdidos-imperial-saison-chardonay-barrel/522225/,3.36,Saison,11.7,351,['Buenos Aires'],Argentina
La Loggia Imperial Stout,/beer/la-loggia-imperial-stout/70569/,3.36,Imperial Stout,11,330,['Olivos'],Argentina
Antares IPA,/beer/antares-ipa/71783/,3.33,India Pale Ale (IPA),7,210,['Mar del Plata - P. de Bs As'],Argentina
Rubia y Negra Scotch Ale,/beer/rubia-y-negra-scotch-ale/60179/,3.32,Scotch Ale,6,180,['Buenos Aires'],Argentina
Antares Imperial Stout,/beer/antares-imperial-stout/41129/,3.31,Imperial Stout,8.5,255,['Mar del Plata - P. de Bs As'],Argentina
Los Bichos Mandan Patagonia Wild Berries Sour,/beer/los-bichos-mandan-patagonia-wild-berries-sour/521926/,3.31,Lambic Style - Fruit,5.55,167,['Buenos Aires'],Argentina
Beagle Fuegian Cream Stout,/beer/beagle-fuegian-cream-stout/219693/,3.29,Sweet Stout,6.2,186,['Ushuaia'],Argentina
Berlina Foreign Stout,/beer/berlina-foreign-stout/57120/,3.28,Foreign Stout,6,180,['San Carlos de Bariloche'],Argentina
Antares Cream Stout,/beer/antares-cream-stout/41126/,3.27,Stout,7,210,['Mar del Plata - P. de Bs As'],Argentina
Los Bichos Mandan Red Hot Chili Sour ,/beer/los-bichos-mandan-red-hot-chili-sour/521927/,3.25,Sour Red/Brown,5.6,168,['Buenos Aires'],Argentina
Berlina Colonia Suiza,/beer/berlina-colonia-suiza/345721/,3.25,Golden Ale/Blond Ale,7,210,['San Carlos de Bariloche'],Argentina
Berlina Old Ale,/beer/berlina-old-ale/310092/,3.24,Old Ale,7.5,225,['San Carlos de Bariloche'],Argentina
Me Ech� La Burra Negra,/beer/me-echo-la-burra-negra/313977/,3.24,Dunkelweizen,8,240,['San Carlos'],Argentina
Eisenbrucke Russian Imperial Stout,/beer/eisenbrucke-russian-imperial-stout/174900/,3.23,Imperial Stout,13,390,['Gorbernador Mansilla'],Argentina
Los Bichos Mandan Golden Sour Peaches,/beer/los-bichos-mandan-golden-sour-peaches/521922/,3.23,Lambic Style - Fruit,5.2,156,['Buenos Aires'],Argentina
Juguetes Perdidos Imperial Stout,/beer/juguetes-perdidos-imperial-stout/522500/,3.22,Imperial Stout,12.2,366,['Buenos Aires'],Argentina
Itzel American Rye IPA,/beer/itzel-american-rye-ipa/494884/,3.21,American Pale Ale,6.7,201,['Buenos Aires'],Argentina
Murray's Old Ale,/beer/murrays-old-ale/67024/,3.21,Old Ale,-,3.21/5,['Buenos Aires'],Argentina
Berlina India Pale Ale,/beer/berlina-india-pale-ale/57119/,3.2,India Pale Ale (IPA),4.8,144,['San Carlos de Bariloche'],Argentina
Barba Roja Barrel Aged Red Ale,/beer/barba-roja-barrel-aged-red-ale/106046/,3.19,American Strong Ale ,9,270,['Escobar'],Argentina
El Bolson Negra Extra,/beer/el-bolson-negra-extra/7165/,3.18,Dunkel/Tmav�,6,180,['El Bolson'],Argentina
Buller India Pale Ale,/beer/buller-india-pale-ale/20737/,3.18,India Pale Ale (IPA),6,180,['Buenos Aires'],Argentina
Rubia y Negra Stout,/beer/rubia-y-negra-stout/60180/,3.17,Stout,5,150,['Buenos Aires'],Argentina
Juguetes Perdidos Strong Dark Belgian Cognac Barrel,/beer/juguetes-perdidos-strong-dark-belgian-cognac-barrel/522240/,3.16,Belgian Strong Ale,12.6,378,['Buenos Aires'],Argentina
Buller Dry Stout,/beer/buller-dry-stout/21203/,3.16,Dry Stout,5.8,174,['Buenos Aires'],Argentina
Kraken Imperial Stout,/beer/kraken-imperial-stout/138006/,3.16,Imperial Stout,10,300,['Buenos Aires'],Argentina
Bersaglier Cream Stout,/beer/bersaglier-cream-stout/52616/,3.15,Stout,6,180,['San Martín'],Argentina
Cape Horn Oatmeal Stout,/beer/cape-horn-oatmeal-stout/85419/,3.15,Stout,4.8,144,['Usuhaia'],Argentina
Araucana Negra Bock,/beer/araucana-negra-bock/57965/,3.15,Dunkler Bock,7.2,216,['El Bolson'],Argentina
Del Castillo Stout Ahumada,/beer/del-castillo-stout-ahumada/67486/,3.15,Smoked,13,390,['Chascomús'],Argentina
Juguetes Perdidos Monster Ale,/beer/juguetes-perdidos-monster-ale/522217/,3.15,Imperial IPA,12.3,369,['Buenos Aires'],Argentina
Balameb Cinco Muescas,/beer/balameb-cinco-muescas/491105/,3.15,Stout,5,150,['Caba'],Argentina
Chiruzza Mulata,/beer/chiruzza-mulata/492890/,3.15,Stout,6,180,['Buenos Aires'],Argentina
IMperial Weissbier,/beer/imperial-weissbier/314043/,3.14,German Hefeweizen,-,3.14/5,['Salta'],Argentina
Shopron Red Ale,/beer/shopron-red-ale/57174/,3.14,Bitter,5.5,165,['Capital Federal'],Argentina
Corsario Negro Redbitter,/beer/corsario-negro-redbitter/12712/,3.14,Bitter,5,150,['Santa Clara del Mar'],Argentina
Araucana Rubia Extra Fuerte,/beer/araucana-rubia-extra-fuerte/54483/,3.14,Heller Bock,8.5,255,['El Bolson'],Argentina
Die Eisenbrucke Dubbel,/beer/die-eisenbrucke-dubbel/161733/,3.13,Abbey Dubbel,7.5,225,['Gorbernador Mansilla'],Argentina
La Blanca,/beer/la-blanca/509298/,3.13,Belgian Ale,6,180,['San Carlos'],Argentina
Sixtofer Oatmeal Stout,/beer/sixtofer-oatmeal-stout/162074/,3.13,Sweet Stout,5.6,168,['Buenos Aires'],Argentina
Cardos Lager Pilsen,/beer/cardos-lager-pilsen/50850/,3.12,Pilsener,6,180,['Los Cardales'],Argentina
El Bolson Negra Ahumada,/beer/el-bolson-negra-ahumada/7166/,3.11,Smoked,6.2,186,['El Bolson'],Argentina
Beagle Fuegian Stout (Negra),/beer/beagle-fuegian-stout-negra/44267/,3.11,Stout,7.8,234,['Ushuaia'],Argentina
Keusters Dubbel,/beer/keusters-dubbel/374374/,3.11,Abbey Dubbel,7,210,['Buenos Aires'],Argentina
Basti�n Brown Porter,/beer/bastion-brown-porter/485165/,3.11,Porter,-,3.11/5,[''],Argentina
Dargett Coney Island,/beer/dargett-coney-island/551631/,3.2,American Pale Ale,5.5,165,['0002 Yerevan'],Armenia
Dargett The Catcher In The Wheat ,/beer/dargett-the-catcher-in-the-wheat/567116/,3.17,Wheat Ale,4.6,138,['0002 Yerevan'],Armenia
Academia Weizen,/beer/academia-weizen/417634/,3.13,German Hefeweizen,4.8,144,['Yerevan'],Armenia
Karloff Dark,/beer/karloff-dark/417569/,3.09,Dunkel/Tmav�,-,3.09/5,['Yerevan'],Armenia
Academia Pils,/beer/academia-pils/417571/,3.09,Pilsener,4.6,138,['Yerevan'],Armenia
Academia Bitter,/beer/academia-bitter/417635/,3.03,English Pale Ale,4.8,144,['Yerevan'],Armenia
Dargett Metamorphosis ,/beer/dargett-metamorphosis/566334/,2.94,Amber Lager/Vienna,5.5,165,['0002 Yerevan'],Armenia
Dargett Prunus Armeniaca,/beer/dargett-prunus-armeniaca/566336/,2.94,Fruit Beer,6,180,['0002 Yerevan'],Armenia
Academia Dunkel,/beer/academia-dunkel/417636/,2.93,Dunkel/Tmav�,4.8,144,['Yerevan'],Armenia
Dargett Vertigo,/beer/dargett-vertigo/566338/,2.92,India Pale Ale (IPA),7,210,['0002 Yerevan'],Armenia
Dargett Underdog,/beer/dargett-underdog/566342/,2.92,Spice/Herb/Vegetable,6,180,['0002 Yerevan'],Armenia
Karloff Classic,/beer/karloff-classic/417566/,2.91,Czech Pilsner (Světl�),-,2.91/5,['Yerevan'],Armenia
Dargett 1984,/beer/dargett-1984/566341/,2.89,Stout,4.8,144,['0002 Yerevan'],Armenia
Ginevan Elitar,/beer/ginevan-elitar/388328/,2.89,Premium Lager,5.6,168,['Yerevan'],Armenia
Ginevan Platinum,/beer/ginevan-platinum/341484/,2.87,Pilsener,5.1,153,['Yerevan'],Armenia
Dargett Prunus Armeniaca,/beer/dargett-prunus-armeniaca/516412/,2.87,Wheat Ale,6,180,['0002 Yerevan'],Armenia
Karloff Gold,/beer/karloff-gold/417568/,2.86,Dortmunder/Helles,-,2.86/5,['Yerevan'],Armenia
Kilikia Dymchatoe Temnoe ,/beer/kilikia-dymchatoe-temnoe/224588/,2.84,Smoked,4.4,132,['Yerevan'],Armenia
Ginevan Gold,/beer/ginevan-gold/350505/,2.83,Pale Lager,5.3,159,['Yerevan'],Armenia
Gyumri Shirak,/beer/gyumri-shirak/75039/,2.81,Amber Lager/Vienna,4,120,['Gyumri'],Armenia
Dargett Armenia Invicta,/beer/dargett-armenia-invicta/554212/,2.81,Imperial IPA,8.5,255,['0002 Yerevan'],Armenia
Dargett Belle de Jour,/beer/dargett-belle-de-jour/566332/,2.79,Golden Ale/Blond Ale,5,150,['0002 Yerevan'],Armenia
Kilikia Dymchatoe Svetloe,/beer/kilikia-dymchatoe-svetloe/224587/,2.79,Smoked,4.8,144,['Yerevan'],Armenia
Kotayk Dark,/beer/kotayk-dark/30499/,2.73,Dunkel/Tmav�,6.2,186,['Abovian'],Armenia
Městsk� Pivo,/beer/m283stske-pivo/339453/,2.66,Czech Pilsner (Světl�),4.8,144,['Yerevan'],Armenia
Kilikia Dark,/beer/kilikia-dark/13527/,2.66,Oktoberfest/M�rzen,4.4,132,['Yerevan'],Armenia
