,Unnamed: 0,name,score,beer style,abv,cal,city,country,link,lat,lon
148,148,Araucana Negra Bock,3.15,Dunkler Bock,7.2,216.0,El Bolson,Argentina,/beer/araucana-negra-bock/57965/,-27.008276199999997,-66.74277140000001
149,149,Del Castillo Stout Ahumada,3.15,Smoked,13.0,390.0,Chascomús,Argentina,/beer/del-castillo-stout-ahumada/67486/,-35.5786869,-58.0138252
150,150,Juguetes Perdidos Monster Ale,3.15,Imperial IPA,12.3,369.0,Buenos Aires,Argentina,/beer/juguetes-perdidos-monster-ale/522217/,-34.6452384,-58.3930969
151,151,Balameb Cinco Muescas,3.15,Stout,5.0,150.0,Caba,Argentina,/beer/balameb-cinco-muescas/491105/,-34.607561600000004,-58.437076
152,152,Chiruzza Mulata,3.15,Stout,6.0,180.0,Buenos Aires,Argentina,/beer/chiruzza-mulata/492890/,-34.6452384,-58.3930969
154,154,Shopron,3.14,Bitter,5.5,165.0,Capital Federal,Argentina,/beer/shopron-red-ale/57174/,-31.422712199999996,-64.19981010000001
155,155,Corsario Negro Redbitter,3.14,Bitter,5.0,150.0,Santa Clara del Mar,Argentina,/beer/corsario-negro-redbitter/12712/,-37.83637120000001,-57.5067448
156,156,Araucana Rubia Extra Fuerte,3.14,Heller Bock,8.5,255.0,El Bolson,Argentina,/beer/araucana-rubia-extra-fuerte/54483/,-27.008276199999997,-66.74277140000001
157,157,Die Eisenbrucke Dubbel,3.13,Abbey Dubbel,7.5,225.0,Gorbernador Mansilla,Argentina,/beer/die-eisenbrucke-dubbel/161733/,,
158,158,La Blanca,3.13,Belgian Ale,6.0,180.0,San Carlos,Argentina,/beer/la-blanca/509298/,-34.9291613,-57.999863100000006
159,159,Sixtofer Oatmeal Stout,3.13,Sweet Stout,5.6,168.0,Buenos Aires,Argentina,/beer/sixtofer-oatmeal-stout/162074/,-34.6452384,-58.3930969
160,160,Cardos Lager Pilsen,3.12,Pilsener,6.0,180.0,Los Cardales,Argentina,/beer/cardos-lager-pilsen/50850/,-34.336527600000004,-58.989931299999995
161,161,El Bolson Negra Ahumada,3.11,Smoked,6.2,186.0,El Bolson,Argentina,/beer/el-bolson-negra-ahumada/7166/,-27.008276199999997,-66.74277140000001
