beer,link,score,style
Matutu Maeva Celebration Ale,/beer/matutu-maeva-celebration-ale/360879/,3.13,India Pale Ale (IPA)
Matutu Coconut Porter,/beer/matutu-coconut-porter/226401/,2.81,Porter
Matutu Mai Lager,/beer/matutu-mai-lager/89343/,2.44,Premium Lager
Matutu Ale,/beer/matutu-ale/89342/,2.39,Amber Ale
Vaka Lager,/beer/vaka-lager/55928/,2.38,Pale Lager
Cooks Lager ,/beer/cooks-lager/15962/,2.19,Pale Lager
Matutu Kiva Pale Ale,/beer/matutu-kiva-pale-ale/79467/,2.18,English Pale Ale
Cooks Darkie,/beer/cooks-darkie/142141/,2.08,Dunkel/Tmav�
