beer,link,score,style
33 Export (Gabon),/beer/33-export-gabon/410549/,2.72,Pale Lager
Castel Beer (Gabon),/beer/castel-beer-gabon/105273/,2.18,Pale Lager
R�gab,/beer/regab/19445/,1.83,Pale Lager
