beer,link,score,style
Turks Head Stout,/beer/turks-head-stout/336397/,3.18,Foreign Stout
Turks Head Island Hopping Ale,/beer/turks-head-island-hopping-ale/336399/,3.13,India Pale Ale (IPA)
Turks Head Gon - Ta - Nort,/beer/turks-head-gon-ta-nort/533115/,3.00,Amber Lager/Vienna
Turks Head Down - Da Road IPA,/beer/turks-head-down-da-road-ipa/510791/,2.97,India Pale Ale (IPA)
Turks Head Summer Wheat Ale,/beer/turks-head-summer-wheat-ale/310242/,2.93,German Hefeweizen
Turks Head I - Ain - Ga - Lie,/beer/turks-head-i-ain-ga-lie/533114/,2.83,Premium Lager
Turks Head Amber,/beer/turks-head-amber/74207/,2.77,Amber Ale
Turks Head Lager,/beer/turks-head-lager/220312/,2.34,Pale Lager
Turks Head Light,/beer/turks-head-light/59430/,1.93,Pale Lager
