beer,link,score,style
Hinano Ambr�e,/beer/hinano-ambree/198906/,2.93,Amber Lager/Vienna
Hinano Gold,/beer/hinano-gold/287945/,2.77,Premium Lager
Gold Hei-Lager ,/beer/gold-hei-lager/15963/,2.28,Malt Liquor
Hinano ,/beer/hinano/7655/,2.12,Pale Lager
Tabu,/beer/tabu/56042/,2.03,Pale Lager
